📍 See this list on Google Maps,,,,Donate to keep MALAN running! ,,,,,,,
,,,"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,
Location,Last Updated,Name,Aid Type,Address,Animals? ,Volunteers Needs,Accepting ,Providing,Notes,Source,Closed 
Glendale,1/10 8:10 PM,Grow Together Glendale,"Distribution Hub, Free Items","Cerritos Park (3690 San Fernando Rd, Glendale, CA 91204)",,Volunteers needed to help prepare/distribute items the morning of the distro.,"Compact foldable bike or electric scooter, air purifiers and HEPA filters, snacks, non-perishables, blankets, sleeping bags. New/unused only. Venmo @GrowTogetherGlendale","Water, hot drinks, hot oatmeal, fruit, protein shakes, protein bars, electrolytes, COVID tests, masks/respirators, hygiene supplies, charging station, socks, underwear","Meet on Saturday January 11th at 9:30 AM to help prepare/distribute items. Masks (KF94, KN95,N95) are required and provided. Please COVID-test the morning of the distro if possible. Limited storage, please drop off donations at 9:30 AM at Cerritos Park.",,
Altadena,1/10 7:55 AM,World Central Kitchen: Altadena (Woodburry Rd.),Free Prepared Meals," 845 E Woodbury Rd, Altadena, CA 91001",,,,Meal Service: 1:00 PM - 5:00 PM  ,,,
Pasadena,1/10 12:02 PM,Pasadena Convention Center - Visitor's Bureau (Family Assistance Center),"Services, Information","300 E Green Street, Pasadena, CA 91101",,,,Reunification of Families ,"Friday, January 10: 10 a.m. to 6 p.m.
Saturday, January 11: 9 a.m. to 5 p.m.

American Red Cross, LA County Medical Examiner’s Office, and LA County Department of Mental Health will provide information and support. For more information on missing loved ones, please call (800) 675-5799 or visit the Red Cross Finding Friends & Family page.",Red Cross,
Los Angeles,1/10/12:02pm,Cheviot Hills Recreation Center (Family Assistance Center),"Information, Services","2551 Motor Avenue, Los Angeles, CA 90064",,,,Reunification of Families ,"The City of Los Angeles has established a Family Assistance Center for those affected by the Palisades Fire.
Phone (310) 837-5186
Friday, January 10: 10 a.m. to 6 p.m.
Saturday, January 11: 9 a.m. to 5 p.m.",LA City Emergency Updates,
Los Angeles,1/10 12:11 PM,Stoner Recreation Center,Shelter,"1835 Stoner Ave, Los Angeles, CA 90025, USA",,Volunteer Application ,,"Overnight shelter, Meals, snacks and water; Health services (for disaster-related conditions), such as first aid, refilling lost prescriptions or replacing lost eyeglasses; Emotional support and mental health services; Spiritual care; Help reconnecting with loved ones; Information about disaster-related resources in the community 

During some emergencies, we may also be able to provide other important services, such as:
Access to case workers to help you with disaster recovery; Childcare; Laundry; Direct access to services provided by our partners",,Red Cross,
Los Angeles,1/10 12:36 PM,Calvary Community Church,Shelter,"5495 Via Rocas, Westlake Village, CA 91362, USA",,,Financial Donations ,"Partnership with Redcross and LA country Officials: Shelter for Refuggees. Hosting Firefighters to be able to sleep and Shower. Friday 1/10 8am-6pm offering free workstations, power, Wifi and Coffee. Saturday evening 1/11/25 They will be providing Paliside Fire Victims with Resources. ",Parking: Enter through gate A and Park in Lot A; furthest from the 101 fwy Calvary Communion Church ,LA County Emergency Updates ,
San Fernando Valley,10/10 8:00 PM,People's Struggle SFV,Services,,,Open for volunteers to work dispatch service. Sign up using [THIS GOOGLE FORM],,"213-915-4487 (Transport Response Team Phone Line)

Emergency evacuation transport for people, pets, and belongings. Escort and transportation, including for those undocumented. Transportation and coordination for supplies and goods.","The fires in the valley are still spreading and we are still offering rides! Phone Line: 213-915-4487

We are also now open to more volunteers to work our dispatch service to get drivers over to evacuation areas. Please scan the QR code to volunteer for this role.",Instagram Post,
Altadena,1/10 12:36 PM,World Central Kitchen: Mobile Station ,Free Prepared Meals,"2234 El Sereno Ave. 
Altadena, CA",,,,Meal Service: 1 PM - 5pm,Help WCK provide nourishing hot meals to families impacted by wildfires in California.,World Central Kitchen,
Flintridge,1/10 12:36 PM,World Central Kitchen: Flintridge,Free Prepared Meals,"
St Francis High School
200 Foothill Blvd, La Cañada Flintridge, CA 91011",,,,Meal Service: 12:00 PM - 5:00 PM ,Help WCK provide nourishing hot meals to families impacted by wildfires in California.,World Central Kitchen,
Altadena,1/10 12:36 PM,World Central Kitchen: Jack In the Box ,Free Prepared Meals,"2125 North Windsor Ave. 
Altadena",,,,Meal Service: 5:30 PM - 10:00 PM ,Help WCK provide nourishing hot meals to families impacted by wildfires in California.,World Central Kitchen,
Pasadena,1/10 12:36 PM,World Central Kitchen: Pasadena City College,Free Prepared Meals,"1570 E Colorado Blvd, Pasadena, CA 91106",,,,Meal Service:  5:00 PM - 9:00 PM ,Help WCK provide nourishing hot meals to families impacted by wildfires in California.,World Central Kitchen,
Lancaster,1/10 12:57 PM,Lancaster Animal Care Center,Animal Boarding,"5210 W Ave I, Lancaster",small,,,,Animal Shelter Information ,LA County Emergency Updates,
Palmdale,1/10 12:57 PM,Palmdale Animal Care Center,Animal Boarding,"38550 Sierra Hwy, Palmdale",small,,,,Animal Shelter Information ,LA County Emergency Updates,
Castaic,1/10 12:57 PM,Castaic Animal Care Center,Animal Boarding,"1044 Charlie Canyon Rd, Castaic, CA 91384",large animal shelter,,,,Animal Shelter Information Other Large Aminal shelters found in website ,,
Filmore,1/10 1:38 PM,Fillmore Active Adult and Community Center,Services,"533 Santa Clara Street
Fillmore, CA 93015",,,,,SoCalEdison opened for customers impacted by fires. Locations open January 9th from 8:00 am to 10:00 pm and January 10th from 8:00 am to 12:00 pm.  City of Fillmore Instragram,VC Emergency,
Agoura Hills,1/10 2:53 PM,Agoura Animal Care Center,Animal Boarding,"29525 Agoura Road 
Agoura Hills, CA 91301",Small animals,,,Hours: 11am-5pm ,agoura@animalcare.lacounty.gov (818) 991-0071 call or Email to make sure they have space,website,
Agoura Hills,1/10 1:45 PM,"Western Veterinary Center, Medical & Surgical Hospital",Animal Boarding,"4990 Reyes Adobe Road
Agoura Hils, CA 91301",,,NO MORE DONATIONS as 1/9/2025,"All pets, regardless of health status","We're here to help! Our state-of-the-art hospital has:
80 kennels
30 large runs all with central oxygen
Bring your fur-babies, regardless of health status. We'll keep them healthy and safe during this tough time.
Call: 805-957-7387
Healthy boarding is free for evacuees! If medical attention is needed, we'll discuss care options. 
",Instagram,
Arcadia,1/10/25 2:58 PM,Arcadia Community Center ,"Wifi/Charging, Donation Drives","375 Campus Drive
Arcadia, CA 91007",,,NO MORE DONATIONS as 1/10/2025,,"Residents experiencing power outages are welcome to use the Arcadia Community Center to charge devices and access Wi-Fi
Not for long-term shelter
Hours: 7-:30 am - 5:30 p.m. 
CONTACT INFORMATION:
626.574.5130
recreation@arcadiaca.gov",City of Arcadia,
Arcadia,1/10 1:54 PM,Arcadia Public Library ,Wifi/Charging,"20 West Duarte Road
Arcadia, CA 91007",,,,Chargers and wifi access,open until 9pm,City of Arcadia,
Azusa,1/10 3:17 PM,Halfsies + Dog Haus Running Club Azusa,"Free Prepared Meals, Donation Drives","600 E 5th St, Azusa, CA 91702",,"Volunteers needed to help with prepping meals and distributing to shelters
**Need grill donated so they can cook more meals***
","NO MORE ITEM  OR MEAT DONATIONS as of 1/10/25.

Need:
Financial Donation","Meals, personal items, blankets, towels, ","Need help: preparing meals, gathering donated items, distributing food & supplies. You can donate: money for groceries, food to cook, packaged/prepared food, bottled water, hygiene supplies, blankets & warm clothing. Opening Thursday, 1/9, @ 8 AM",Instagram,
Bakersfield,1/10 3:19 PM,White Wolf Wellness ,Animal Boarding,"13227 Round Mountain Rd, Bakersfield, CA","Horses, chickens, sheep, goats","Volunteers needed to help 1. Removing invasive reeds along the Kern River 2. Creating secure fencing in anticipation, we may get some larger animals to temporarily care for 3. Naitive garden maintanace and re planting DATES: TH  1/16 9am-11am Sat 1/18 & 1/25 9am-11am ",,"Providing animal on boarding for horses, chickens, sheep, and goats etc","To Prepare: dress for weather, gloves, clippers and shovels if you have them. Call 661-314-7575 or 773-710-3518 with questions",Instagram,
